Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Bumetanide,Loop Diuretics,"Use caution in sulfa allergy, dehydration, or severe electrolyte depletion.","It can cause low potassium, dehydration, ototoxicity, and high uric acid.",It is used for edema and volume overload.,It causes strong diuresis and reduces swelling.,It is more potent by milligram dose than furosemide.,It inhibits the Na-K-2Cl cotransporter in the thick ascending limb.
Hydrochlorothiazide (HCTZ),Thiazide Diuretics,"Use caution in sulfa allergy, gout, or severe kidney disease.","It can cause low potassium, high calcium, high uric acid, high glucose, and photosensitivity.","It is used for hypertension, mild edema, calcium kidney stone prevention, and nephrogenic diabetes insipidus.",It lowers blood pressure and increases salt and water excretion.,"It decreases urinary calcium loss, unlike loop diuretics.",It inhibits the Na-Cl cotransporter in the distal convoluted tubule.
Chlorthalidone,Thiazide Diuretics,"Use caution in sulfa allergy, gout, or severe electrolyte problems.","It can cause low potassium, low sodium, high uric acid, high glucose, and photosensitivity.",It is used for hypertension and edema.,It provides long-lasting blood pressure reduction.,It lasts longer than hydrochlorothiazide and is often stronger for hypertension.,It inhibits the Na-Cl cotransporter in the distal convoluted tubule.
Spironolactone,Potassium-Sparing Diuretics,Avoid this drug in high potassium states or significant kidney failure.,"It can cause hyperkalemia, gynecomastia, menstrual changes, and stomach upset.","It is used for heart failure, resistant hypertension, ascites, and hyperaldosteronism.",It helps the body lose sodium while keeping potassium.,It can cause endocrine side effects because it also blocks steroid receptors.,It antagonizes aldosterone receptors in the collecting duct.
Eplerenone,Potassium-Sparing Diuretics,Avoid this drug in high potassium states or severe kidney failure.,"It can cause hyperkalemia, dizziness, and kidney function changes.",It is used for heart failure and hyperaldosteronism-related hypertension.,It promotes sodium loss while conserving potassium.,It has fewer antiandrogen side effects than spironolactone.,It selectively antagonizes aldosterone receptors in the collecting duct.
Quinidine (IA),Class I (Sodium Channel Blockers),Avoid this drug in prolonged QT syndrome or complete heart block without pacing.,"It can cause cinchonism, diarrhea, thrombocytopenia, and torsades de pointes.",It is used for some atrial and ventricular arrhythmias.,It slows conduction and prolongs the refractory period.,"It is associated with cinchonism, which includes tinnitus and headache.","It blocks sodium channels and potassium channels, prolonging phase 0 and repolarization."
Procainamide (IA),Class I (Sodium Channel Blockers),"Use caution in lupus history, myasthenia gravis, or significant conduction disease.","It can cause drug-induced lupus, torsades de pointes, low blood pressure, and agranulocytosis.",It is used for atrial and ventricular arrhythmias and sometimes stable wide-complex tachycardia.,It slows abnormal electrical conduction and prolongs refractoriness.,It is a classic cause of drug-induced lupus.,It blocks sodium channels and also delays potassium-mediated repolarization.
Lidocaine (IB),Class I (Sodium Channel Blockers),Avoid this drug in severe heart block without pacing or allergy to amide anesthetics.,"It can cause neurologic symptoms such as confusion, tremor, seizures, and numbness.","It is used for ventricular arrhythmias, especially after myocardial infarction.",It suppresses abnormal ventricular automaticity.,It preferentially acts on ischemic or depolarized ventricular tissue.,It blocks inactivated sodium channels and shortens phase 3 repolarization.
Flecainide (IC),Class I (Sodium Channel Blockers),Avoid this drug in structural heart disease or prior myocardial infarction.,"It can cause proarrhythmia, dizziness, blurred vision, and heart failure worsening.",It is used for rhythm control in selected patients with atrial fibrillation.,It markedly slows cardiac conduction with little effect on repolarization.,It is dangerous after myocardial infarction because it can increase mortality.,"It strongly blocks sodium channels, slowing phase 0 depolarization."
Amiodarone,Class III (Potassium Channel Blockers),"Use caution in iodine allergy, thyroid disease, liver disease, or lung disease.","It can cause pulmonary fibrosis, thyroid dysfunction, liver injury, corneal deposits, and blue-gray skin.",It is used for atrial and ventricular arrhythmias.,It prolongs cardiac repolarization and helps maintain normal rhythm.,It contains iodine and has effects from multiple antiarrhythmic classes.,"It blocks potassium channels and also has sodium-channel, beta-blocking, and calcium-channel effects."
Sotalol,Class III (Potassium Channel Blockers),"Avoid this drug in asthma, severe bradycardia, or prolonged QT syndrome.","It can cause torsades de pointes, bradycardia, fatigue, and bronchospasm.",It is used for rhythm control in atrial and ventricular arrhythmias.,It slows the heart and prolongs repolarization.,It is both a beta blocker and a class III antiarrhythmic.,It blocks potassium channels and nonselectively blocks beta receptors.
Adenosine,Miscellaneous (Class V),"Use caution in asthma, heart block, or patients taking methylxanthines like theophylline.","It can cause flushing, chest pressure, shortness of breath, and a brief sense of doom.",It is used to terminate paroxysmal supraventricular tachycardia.,It briefly blocks AV nodal conduction.,It has an extremely short half-life and is given as a rapid IV push.,"It activates A1 receptors, increasing potassium efflux and decreasing calcium influx in the AV node."
Magnesium Sulfate,Miscellaneous (Class V),"Use caution in kidney failure, myasthenia gravis, or heart block.","It can cause flushing, low blood pressure, loss of reflexes, and respiratory depression at high levels.","It is used for torsades de pointes, eclampsia seizure prevention, and low magnesium states.",It stabilizes cardiac electrical activity and reduces uterine irritability.,It is the classic treatment for torsades even when magnesium level is normal.,It modulates ion movement and suppresses early afterdepolarizations that trigger torsades.
Atorvastatin,Statins,Avoid this drug in active liver disease or pregnancy.,"It can cause muscle pain, liver enzyme elevation, and rarely rhabdomyolysis.",It is used to lower LDL cholesterol and prevent cardiovascular events.,It lowers LDL and modestly lowers triglycerides.,It is a high-intensity statin with strong LDL-lowering ability.,"It inhibits HMG-CoA reductase, decreasing hepatic cholesterol synthesis and increasing LDL receptor expression."
Simvastatin,Statins,"Avoid this drug in pregnancy, active liver disease, or strong CYP3A4 inhibitor use.","It can cause muscle toxicity, liver enzyme elevation, and rare rhabdomyolysis.",It is used to lower LDL cholesterol and reduce cardiovascular risk.,It decreases LDL cholesterol and stabilizes atherosclerotic plaques.,It has important CYP3A4 interactions and grapefruit can increase toxicity risk.,"It inhibits HMG-CoA reductase, increasing hepatic LDL receptor expression."
Rosuvastatin,Statins,Avoid this drug in pregnancy or active liver disease.,"It can cause muscle pain, liver enzyme elevation, and rarely rhabdomyolysis.",It is used for high LDL cholesterol and cardiovascular risk reduction.,It strongly lowers LDL cholesterol.,It is a high-intensity statin with less CYP3A4 metabolism than simvastatin.,It inhibits HMG-CoA reductase in the liver.
Pravastatin,Statins,Avoid this drug in pregnancy or active liver disease.,"It can cause muscle pain and liver enzyme elevation, though interactions are fewer than with some statins.",It is used to lower LDL cholesterol and reduce cardiovascular risk.,It lowers LDL cholesterol.,It is relatively hydrophilic and has fewer CYP-mediated drug interactions.,"It inhibits HMG-CoA reductase, reducing cholesterol synthesis."
Ezetimibe,Cholesterol Absorption Inhibitors,Use caution in active liver disease or when combined with statins in high-risk patients.,"It can cause diarrhea, abdominal pain, and liver enzyme elevation.","It is used for high LDL cholesterol, often with a statin.",It lowers LDL by reducing intestinal cholesterol uptake.,It targets the brush border of the small intestine rather than cholesterol synthesis.,It inhibits the NPC1L1 cholesterol transporter in enterocytes.
Cholestyramine,Bile Acid Sequestrants,Avoid this drug in complete biliary obstruction or severe constipation.,"It can cause constipation, bloating, high triglycerides, and reduced absorption of other drugs.",It is used for high LDL cholesterol and itching from bile acid buildup.,It lowers LDL by increasing conversion of cholesterol into bile acids.,It can help treat pruritus from cholestasis because it binds bile acids in the gut.,"It binds bile acids in the intestine, preventing their reabsorption."
Colesevelam,Bile Acid Sequestrants,Avoid this drug in bowel obstruction or very high triglycerides.,"It can cause constipation, indigestion, and increased triglycerides.",It is used to lower LDL cholesterol and can be used in some patients with diabetes.,It lowers LDL without being absorbed into the bloodstream.,It has fewer drug interactions than older bile acid resins.,It binds bile acids in the intestine and interrupts enterohepatic recycling.
Gemfibrozil,Fibrates,Avoid this drug in severe liver or gallbladder disease.,"It can cause gallstones, muscle toxicity, stomach upset, and higher risk of myopathy with statins.",It is used mainly for severe hypertriglyceridemia.,It lowers triglycerides and can raise HDL.,It has a higher statin interaction risk than fenofibrate.,"It activates PPAR-alpha, increasing lipoprotein lipase activity and fatty acid oxidation."
